part,name,description,category,product_line_id,release_date,original_condition_id
P6N23AA,HP Exec 17.3 Backpack,HP 17.3 Executive Black Backpack,"Accessories>Bags, Cases & Sleeves",Commercial,2016-04-06,Excess New
F3W17AA#ABL,HP 15.6 Sport b/y Rfrbd Backpack,HP 15.6 Sport Black And Yellow Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2016-04-27,Excess New
L8J88AA#ABL,HP 15 6 inch Odyssey Rfrbd Backpack,HP 15 6 inch Odyssey Black Backpack,"Accessories>Bags, Cases & Sleeves",Consumer,2016-05-11,Excess New
H4F20UT,HP ElitePad Expansion Battery,HP ElitePad Expansion Jacket Battery,"Accessories>Bags, Cases & Sleeves",Commercial,2013-05-17,Excess New
H4F20AA,HP ElitePad Battery,HP ElitePad Jacket Battery,"Accessories>Bags, Cases & Sleeves",Commercial,2013-05-20,Refurbished
D2A23UT#ABA,HP ElitePad Expansion w/Battery,HP ElitePad Expansion Jacket with Battery,"Accessories>Bags, Cases & Sleeves",Commercial,2013-06-28,Refurbished
H4F20AAR,HP ElitePad Rfrbd Battery,HP ElitePad Expansion Jacket Battery,"Accessories>Bags, Cases & Sleeves",Commercial,2013-07-08,Refurbished
H4F20UTR,HP ElitePad Expan Rfrbd Battery,HP ElitePad Expansion Jacket Battery,"Accessories>Bags, Cases & Sleeves",Commercial,2013-07-11,Refurbished
D2A23AA#ABA,HP ElitePad Expansion w/Battery,HP ElitePad Expansion Jacket with Battery,"Accessories>Bags, Cases & Sleeves",Commercial,2013-11-06,Excess New
E6R79AA,HP Retail for ElitePad w/Battery,HP Retail Jacket for ElitePad w/Battery,"Accessories>Bags, Cases & Sleeves",Commercial,2014-08-26,Excess New
E6R78AA,HP ElitePad No-Battery Retail ,HP ElitePad No-Battery Retail Jacket,"Accessories>Bags, Cases & Sleeves",Commercial,2014-09-10,Excess New
E6R78AT,HP ElitePad No-Battery Retail ,HP ElitePad No-Battery Retail Jacket,"Accessories>Bags, Cases & Sleeves",Commercial,2014-09-25,Excess New
E6R79AT,HP Elitepad Retail with Battery,HP Elitepad Retail Jacket with Battery,"Accessories>Bags, Cases & Sleeves",Commercial,2014-11-13,Excess New
D2A23AA#ABA,HP ElitePad w/Battery Rfrbd Exp Jkt,HP ElitePad w/Battery Expansion Jacket,"Accessories>Bags, Cases & Sleeves",Commercial,2016-06-20,Refurbished
